PLAYER_NAME,TEAM_HIST,Season,MIN,PLAYER_FGM,PLAYER_FGA,PLAYER_FG3M,PLAYER_FTM,PLAYER_FTA,PLAYER_AST,PLAYER_TOV,PLAYER_OREB,PLAYER_DREB,PLAYER_STL,PLAYER_BLK,PLAYER_PF,TEAM_FGM,TEAM_AST,TEAM_FGA,TEAM_FTM,TEAM_FTA,TEAM_PTS,TEAM_OREB,TEAM_TOV,TEAM_PF,TEAM_DREB%,TEAM_PACE,PLAYER_RAW_PER,PLAYER_PACE_CORRECTED_PER,Min * cPER,PLAYER_PER
Payton Pritchard,2021-22 BOS,2021-22,1001.0,160,373,101,21,21,139,41,32,102,25,6,61,3341,2036,7167,1397,1713,9164,863,1118.0,1521,0.725,99.0,0.32783955981886587,0.33306070836412927,333.3937690724934,14.948728255169195
Petr Cornelie,2021-22 DEN,2021-22,37.965,5,15,1,3,4,3,4,7,7,1,1,7,3416,2279,7079,1372,1725,9243,752,1189.0,1639,0.752,99.9,0.21592648437424805,0.21738904948362317,8.253175263645755,9.757049525119562
Precious Achiuwa,2020-21 MIA,2020-21,737.0833333333334,124,228,0,56,110,29,43,73,135,20,28,91,2824,1895,6029,1201,1520,7781,579,1013.0,1363,0.733,98.7,0.30626931946136315,0.3147095681841079,231.9671775490362,14.061232244030506
Precious Achiuwa,2021-22 TOR,2021-22,1724.6533333333334,265,603,56,78,131,82,84,146,327,37,41,151,3332,1809,7489,1327,1749,8970,1095,1021.0,1607,0.714,98.6,0.27893203106846826,0.28452387334107143,490.70504657059,12.770254664905812
Quentin Grimes,2021-22 NYK,2021-22,786.2266666666667,95,235,72,13,19,44,28,24,70,31,11,72,3088,1793,7069,1473,1980,8731,941,1087.0,1672,0.74,98.4,0.23516396019040664,0.24036592719597358,188.98210171953298,10.788318277177412
Quinn Cook,2020-21 CLE,2020-21,157.355,29,68,11,7,8,18,7,2,15,4,1,10,2778,1716,6175,1200,1614,7476,751,1114.0,1308,0.729,99.6,0.2838857403220614,0.28907321067734404,45.48711506613347,12.915799078863067
Quinn Cook,2019-20 LAL,2019-20,507.95166666666665,91,214,31,11,14,49,33,11,40,12,2,27,3006,1803,6269,1260,1728,8054,757,1077.0,1471,0.737,103.3,0.22544365136228942,0.2240905529707636,113.82716986575433,10.177223199612017
Quinndary Weatherspoon,2021-22 GSW,2021-22,73.40833333333333,12,21,1,5,5,5,3,2,12,1,1,15,3323,2223,7087,1280,1665,9102,800,1221.0,1723,0.736,100.7,0.26829146745662485,0.2679628747953903,19.67070803393828,12.02694913328189
Quinndary Weatherspoon,2019-20 SAS,2019-20,77.73833333333333,5,17,1,1,2,11,5,1,6,3,1,8,2995,1751,6350,1348,1664,8098,640,895.0,1377,0.751,102.6,0.07844532079072364,0.07850648673286068,6.102963434468034,3.5654249030388305
Quinndary Weatherspoon,2020-21 SAS,2020-21,121.09,16,35,1,13,16,8,10,3,8,8,2,18,3014,1759,6518,1254,1584,7998,669,821.0,1293,0.733,101.0,0.21478215505585493,0.2156753085719288,26.116123114974858,9.636378774981194
R.J. Hampton,2020-21 ORL,2020-21,888.2833333333333,136,313,27,55,82,87,53,29,150,21,10,61,2754,1571,6423,1196,1543,7488,747,924.0,1237,0.744,100.8,0.25364312580224974,0.25520323233000164,226.69277789153494,11.40248750594116
R.J. Hampton,2021-22 ORL,2021-22,1402.2616666666668,175,457,64,75,117,158,87,23,171,42,13,101,3139,1947,7240,1270,1614,8547,746,1188.0,1612,0.735,101.5,0.19833216996054973,0.1965279659842255,275.58363312765005,8.820743739088645
RJ Barrett,2019-20 NYK,2019-20,1704.4216666666666,292,727,63,156,254,143,124,50,229,55,17,122,2638,1456,5896,1076,1550,6983,795,946.0,1464,0.742,100.9,0.2393322116652702,0.24355432600386462,415.11927025138357,11.06118354438524
RJ Barrett,2020-21 NYK,2020-21,2510.8816666666667,467,1060,124,206,276,217,139,68,346,53,20,188,2839,1541,6225,1181,1506,7706,696,932.0,1473,0.738,98.2,0.2959891480572679,0.30569469853328013,767.5632141444066,13.658447617743596
RJ Barrett,2021-22 NYK,2021-22,2417.19,487,1194,138,290,406,208,151,66,342,43,16,142,3088,1793,7069,1473,1980,8731,941,1087.0,1672,0.74,98.4,0.30508775735225185,0.31183648044002354,753.7680221548205,13.99612349665064
RJ Nembhard Jr.,2021-22 CLE,2021-22,62.733333333333334,6,18,0,3,4,12,3,3,4,1,0,2,3255,2064,6940,1376,1810,8839,837,1181.0,1433,0.724,98.4,0.17861624423360142,0.18256734204811842,11.453057924485295,8.194150543756477
Rajon Rondo,2021-22 CLE,2021-22,697.9333333333333,68,176,31,19,26,170,68,15,93,30,6,56,3255,2064,6940,1376,1810,8839,837,1181.0,1433,0.724,98.4,0.2401047196825609,0.24541597923380454,171.2839924399133,11.014979224242548
Rajon Rondo,2020-21 LAC,2020-21,769.32,95,215,36,16,17,199,79,18,92,37,4,53,3009,1756,6242,1164,1387,8209,678,949.0,1383,0.754,99.1,0.28974192772748025,0.2965249879931488,228.12260376288924,13.248744696223614
Rajon Rondo,2019-20 LAL,2019-20,984.24,137,328,41,27,41,240,91,23,119,40,2,58,3006,1803,6269,1260,1728,8054,757,1077.0,1471,0.737,103.3,0.27752975905357163,0.2758640431715464,271.5164258511628,12.528551082965656
Raul Neto,2019-20 PHI,2019-20,667.6,101,222,34,39,47,95,47,11,50,24,6,50,3000,1884,6417,1236,1638,8084,764,1037.0,1529,0.753,101.3,0.27521430035324296,0.2789635178703948,186.2360445302756,12.669315811302267
Raul Neto,2020-21 WAS,2020-21,1403.2,209,447,64,75,85,146,53,28,128,73,6,109,3108,1835,6547,1449,1884,8398,697,1036.0,1555,0.736,106.4,0.3037420374259411,0.2895255398095765,406.2622374607978,12.936009157049632
Raul Neto,2021-22 WAS,2021-22,1371.995,204,441,35,83,108,217,79,13,121,55,3,104,3327,2052,7056,1393,1778,8907,737,1077.0,1545,0.731,99.3,0.27474116156823275,0.2782734161798686,381.7897356316988,12.48971606270226
Ray Spalding,2020-21 HOU,2020-21,18.733333333333334,2,4,0,0,2,0,3,2,2,0,2,3,2826,1699,6372,1189,1606,7833,671,1060.0,1407,0.723,103.6,0.018807727125723404,0.018411966072305674,0.3449174977545263,0.8226471552985782
Rayjon Tucker,2021-22 MIL,2021-22,70.81833333333333,6,9,4,5,7,10,1,3,5,4,0,5,3429,1960,7331,1459,1881,9470,840,1100.0,1494,0.747,102.2,0.3877178560836184,0.3815593891588721,27.021400007916057,17.125489373271968
Rayjon Tucker,2020-21 PHI,2020-21,68.15,9,18,2,14,19,6,4,1,10,2,0,8,2981,1706,6257,1409,1836,8182,722,1040.0,1456,0.737,101.8,0.3385137797013556,0.337250172272215,22.983599240351452,15.06834706050218
Rayjon Tucker,2019-20 UTA,2019-20,161.44833333333332,20,43,3,19,23,5,8,3,17,1,1,10,2886,1615,6130,1278,1641,8013,656,1089.0,1468,0.746,100.8,0.21211344406019256,0.2160695281359184,34.884065201663795,9.81294296132593
Reggie Bullock,2021-22 DAL,2021-22,1901.8483333333334,201,501,141,40,48,83,40,33,208,41,14,111,3222,1918,6982,1341,1739,8858,759,1025.0,1612,0.733,97.5,0.2027773080493263,0.20917605865888284,397.8211385336319,9.388426733784431
Reggie Bullock,2019-20 NYK,2019-20,684.325,90,224,37,17,21,42,19,13,55,25,3,56,2638,1456,5896,1076,1550,6983,795,946.0,1464,0.742,100.9,0.2039096884690538,0.20750690596632748,142.00216342540708,9.424065715772246
Reggie Bullock,2020-21 NYK,2020-21,1949.27,248,561,163,50,55,99,45,16,207,52,11,146,2839,1541,6225,1181,1506,7706,696,932.0,1473,0.738,98.2,0.2437235448666236,0.25171529450481633,490.66107211940334,11.24664634707313
Reggie Jackson,2019-20 LAC,2019-20,742.66,134,326,57,45,54,126,51,17,75,13,5,59,2992,1708,6425,1498,1894,8377,767,1051.0,1594,0.737,103.9,0.3053994847068901,0.301813465733431,224.14478846158985,13.707061563716726
Reggie Jackson,2020-21 LAC,2020-21,1544.145,263,585,122,67,82,205,74,24,168,41,7,127,3009,1756,6242,1164,1387,8209,678,949.0,1383,0.754,99.1,0.31165197400549366,0.31894796370975953,492.50190342260663,14.250603873791006
Reggie Jackson,2021-22 LAC,2021-22,2336.528333333333,479,1222,167,138,163,359,173,39,232,55,15,159,3285,1969,7170,1273,1606,8890,747,1126.0,1528,0.706,100.2,0.27712865060042524,0.27817041831558986,649.9530638895612,12.48509322054376
Reggie Perry,2020-21 BKN,2020-21,210.67,32,78,4,10,13,14,15,27,46,6,6,40,3106,1929,6289,1305,1623,8537,640,975.0,1371,0.726,101.8,0.2501507170447118,0.24921695208914219,52.502535296619584,11.135020338577082
Reggie Perry,2021-22 POR,2021-22,187.26666666666668,40,79,3,9,15,12,11,15,32,9,6,33,3161,1880,7144,1346,1771,8711,854,1187.0,1728,0.721,100.6,0.3454453697473019,0.34536524656677736,64.67539850707185,15.500991531135206
Richaun Holmes,2019-20 SAC,2019-20,1241.615,223,344,0,93,118,42,52,127,231,41,56,169,2943,1713,6364,1127,1464,7927,695,1043.0,1595,0.736,101.2,0.41721459125403093,0.4233161485174299,525.5956797414688,19.225187632180415
Richaun Holmes,2020-21 SAC,2020-21,1781.4033333333334,366,575,2,135,170,101,75,144,360,39,96,213,3067,1836,6382,1181,1585,8189,674,963.0,1400,0.713,102.2,0.44635407824536266,0.4429474619926094,789.0680852851744,19.790904899778248
Richaun Holmes,2021-22 SAC,2021-22,1074.0783333333334,198,300,2,70,90,48,56,93,224,17,41,128,3321,1943,7223,1466,1908,9045,784,1156.0,1552,0.714,102.1,0.3941872123604785,0.38830593400433294,417.07099041881725,17.428293826104174
